0.04,-0.24,0.97,0
0.04,-0.24,0.96,0
0.04,-0.25,0.96,0
0.04,-0.25,0.96,0
0.04,-0.26,0.96,0
0.04,-0.25,0.96,0
0.04,-0.26,0.96,0
0.04,-0.26,0.96,0
0.04,-0.26,0.96,0
0.04,-0.26,0.96,0
0.04,-0.26,0.96,0
0.04,-0.26,0.96,0
0.04,-0.26,0.96,0
0.04,-0.26,0.96,0
0.04,-0.26,0.96,0
0.04,-0.27,0.96,0
0.04,-0.27,0.96,0
0.04,-0.27,0.95,0
0.04,-0.28,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.29,0.95,0
0.04,-0.28,0.95,0
