"hour","min","second","x_raw","x_kal1","x_kal2","x_kal3","x_kal4","x_kal5","label"
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,432
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,432
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,430
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,430
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,431
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,430
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,431
0,0,11,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,432
0,0,11,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,430
0,0,11,-0.21,-0.22,-0.22,-0.22,-0.22,-0.22,431
0,0,11,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,11,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,11,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,435
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,423
0,0,11,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,426
0,0,12,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,425
0,0,12,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,422
0,0,12,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,425
0,0,12,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,12,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,430
0,0,12,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,427
